,ticker,name,slug,marketcap,sector,category,symbol,size
136,STORJ,Storj,storj,486549524.7,File Storage,Services,STORJ-USD,69.75310206
137,WOO,Wootrade Network,wootrade-network,476944017.1,Decentralized Exchanges,Financial,WOO-USD,69.06113358
138,BAL,Balancer,balancer,476413576.4,Decentralized Exchanges,Financial,BAL-USD,69.02271919
139,INJ,Injective Protocol,injective-protocol,475037268.9,Derivatives,Financial,INJ-USD,68.92294748
140,IOTX,IoTeX,iotex,464953167.8,IoT,Services,IOTX-USD,68.18747449
141,SRM,Serum,serum,461626539.3,Decentralized Exchanges,Financial,SRM-USD,67.94310409
142,REP,Augur,augur,455620736.8,Prediction Markets,Financial,REP-USD,67.49968421
143,XIN,Mixin,mixin,440997494.6,Decentralized Exchanges,Financial,XIN-USD,66.40764223
144,AXS,Axie Infinity,axie-infinity,429135642.7,Gaming,Media and Entertainment,AXS-USD,65.50844546
145,GNT,Golem,golem,427600291.7,Shared Compute,Services,GNT-USD,65.3911532
146,TRIBE,Tribe,tribe,410627949.7,Stablecoins,Financial,TRIBE-USD,64.08025825
147,KAVA,Kava,kava,408707963.4,Lending,Financial,KAVA-USD,63.93027166
148,OGN,Origin Protocol,origin-protocol,407644976,,,OGN-USD,63.84708106
149,GNO,Gnosis,gnosis,404522131.7,Prediction Markets,Financial,GNO-USD,63.60205435
150,EWT,Energy Web,energy-web,402391990.3,Energy,Infrastructure,EWT-USD,63.43437478
151,SXP,Swipe,swipe,394012706.6,Payment Platforms,Financial,SXP-USD,62.77043146
152,FUN,FunFair,funfair,380381547.5,Gambling,Media and Entertainment,FUN-USD,61.67507986
153,STEEM,Steem,steem,374978014.3,Content Creation and Distribution,Media and Entertainment,STEEM-USD,61.23544842
154,FET,Fetch.ai,fetch-ai,374725489.2,AI,Infrastructure,FET-USD,61.21482576
155,ANT,Aragon Network,aragon-network,368195215.7,Misc,Infrastructure,ANT-USD,60.6790916
156,STMX,StormX,storm,365580204.6,Rewards,Payments,STMX-USD,60.46322887
157,TKO,Tokocrypto,tokocrypto,364171556.5,,,TKO-USD,60.34662845
158,ARDR,Ardor,ardor,361885967,Smart Contract Platforms,Infrastructure,ARDR-USD,60.15695862
159,MAID,Maidsafe,maidsafe,360212455.7,Data Management,Services,MAID-USD,60.01770203
160,KMD,Komodo,komodo,357117252.1,Interoperability,Infrastructure,KMD-USD,59.75928816
161,WAN,Wanchain,wanchain,352735919.5,Interoperability,Infrastructure,WAN-USD,59.39157512
162,WAXP,WAX,wax,352388157,Collectibles,Media and Entertainment,WAXP-USD,59.36229081
